code,city_name,npatients,male,female,u5,u9,10s,20s,30s,40s,50s,60s,70s,80s,90s,o100,lat,lon
11101,Saitama,148,87,61,0,3,4,28,10,24,36,16,8,13,5,1,35.903223,139.626988
11201,Kawagoe,43,26,17,0,0,0,8,6,6,9,8,3,2,1,0,35.902221,139.416674
11202,Kumagaya,12,5,7,0,0,1,1,0,2,1,2,4,1,0,0,36.143832,139.374232
11203,Kawaguchi,103,57,45,2,0,1,18,9,24,15,7,9,16,2,0,35.85108,139.762251
11206,Gyoda,3,1,2,0,0,0,0,1,0,0,2,0,0,0,0,36.139265,139.465083
11207,Chichibu,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,36.015211,139.085679
11208,Tokorozawa,139,75,64,1,0,0,13,13,20,30,14,28,11,9,0,35.787284,139.474538
11209,Hanno,9,5,4,0,0,0,2,2,0,1,3,1,0,0,0,35.851254,139.312612
11210,Kazo,4,3,1,0,0,0,0,0,0,1,3,0,0,0,0,36.131756,139.586758
11211,Honjo,4,3,1,0,0,0,0,2,1,0,0,1,0,0,0,36.224475,139.161863
11212,Higashimatsuyama,10,8,2,0,1,0,1,1,2,1,1,3,0,0,0,36.046366,139.400991
11214,Kasukabe,30,14,16,0,0,1,5,0,6,12,1,2,1,2,0,36.027249,139.793301
11215,Sayama,27,11,16,1,1,0,3,4,5,6,5,2,0,0,0,35.861594,139.393585
11216,Hanyu,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,36.152033,139.53433
11217,Kounosu,11,5,6,0,0,0,1,2,3,1,3,0,1,0,0,36.066724,139.526411
11218,Hukaya,8,4,4,0,0,0,1,2,0,2,1,2,0,0,0,36.195794,139.254523
11219,Ageo,11,8,3,0,0,0,2,2,2,2,1,2,0,0,0,35.969179,139.593606
11221,Souka,28,16,12,0,1,1,3,4,9,5,3,2,0,0,0,35.852069,139.800633
11222,Koshigaya,38,23,15,0,0,3,3,3,8,10,7,3,1,0,0,35.864499,139.806766
11223,Warabi,8,4,4,0,0,0,2,1,1,0,0,2,1,1,0,35.823056,139.677356
11224,Toda,21,12,9,1,1,0,1,5,3,3,3,3,1,0,0,35.813065,139.687624
11225,Iruma,33,16,17,0,0,0,1,2,4,11,2,3,6,4,0,35.843003,139.388045
11227,Asaka,15,7,8,0,0,0,1,2,0,5,4,0,3,0,0,35.791451,139.599363
11228,Shiki,16,10,6,0,0,3,0,4,3,3,2,1,0,0,0,35.831484,139.591887
11229,Wako,21,13,8,0,0,1,5,2,4,6,0,2,1,0,0,35.788211,139.615382
11230,Niza,24,12,12,0,0,0,5,5,7,0,2,4,1,0,0,35.78772,139.548116
11231,Okegawa,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,35.995999,139.556686
11232,Kuki,3,1,2,0,0,1,1,0,1,0,0,0,0,0,0,36.054463,139.644299
11233,Kitamoto,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,36.016325,139.533679
11234,Yashio,15,8,7,1,0,0,4,1,4,1,0,2,2,0,0,35.809671,139.855055
11235,Fujimi,10,7,3,0,0,0,2,1,3,2,1,1,0,0,0,35.867175,139.557825
11237,Misato,8,4,4,0,0,0,1,1,4,1,0,1,0,0,0,35.851192,139.868574
11238,Hasuda,4,3,1,0,0,0,1,0,1,0,0,2,0,0,0,35.982362,139.644938
11239,Sakado,4,2,2,0,0,0,0,2,1,0,1,0,0,0,0,35.932449,139.338058
11240,Satte,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,36.057143,139.720276
11241,Tsurugashima,9,6,3,0,0,1,2,0,2,1,2,0,1,0,0,35.950913,139.382161
11242,Hidaka,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,35.873278,139.289912
11243,Yoshikawa,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,35.896045,139.856909
11245,Fujimino,14,10,4,0,0,0,3,2,2,5,1,1,0,0,0,35.854665,139.51885
11246,Shiraoka,6,4,2,0,0,0,1,1,1,2,1,0,0,0,0,36.036838,139.67837
11301,Inamachi,3,2,1,0,0,0,0,1,1,0,1,0,0,0,0,35.972477,139.636773
11324,Miyoshi,4,2,2,0,0,0,1,1,1,1,0,0,0,0,0,35.83381,139.54477
11326,Moroyamamachi,4,3,1,0,0,0,1,0,0,1,1,0,0,1,0,35.928691,139.282965
11327,Ogose,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,35.962012,139.296402
11341,Namegawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.044105,139.370788
11342,Ranzan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.047551,139.328648
11343,Ogawa,4,2,2,0,0,0,0,0,0,0,0,3,1,0,0,36.066887,139.262
11346,Kawajima,4,3,1,0,0,0,0,0,2,0,1,1,0,0,0,35.969236,139.484512
11347,Yoshimi,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,36.062736,139.465255
11348,Hatoyama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.98754,139.353306
11349,Tokigawa,3,2,1,0,0,1,0,0,0,0,2,0,0,0,0,36.013559,139.245217
11361,Yokose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.971787,139.143014
11362,Minano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.082905,139.127258
11363,Nagatoro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.108166,139.12349
11365,Oganomachi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.015118,138.999149
11369,Higashichichibu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.048918,139.215552
11381,Misatomachi,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,36.197626,139.184202
11383,Kamikawamachi,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,36.146724,139.05954
11385,Kamisatomachi,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,36.226756,139.14303
11408,Yorii,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,36.10753,139.234747
11442,Miyashiromachi,3,2,1,0,0,0,0,0,1,0,2,0,0,0,0,36.030092,139.715352
11464,Sugitomachi,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,36.052855,139.712971
11465,Matsubushi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.923797,139.820376
